text,label
"President announces new program to build schools","REAL"
"Scientists find cure for aging overnight","FAKE"
"Local college organizes job fair this weekend","REAL"
"Aliens landed in city center last night","FAKE"
"Government increases scholarships for students","REAL"
"Drink this juice to grow 2 feet in a week","FAKE"
Government launches clean energy project in Hyderabad to improve transport.,REAL
ISRO successfully deploys new satellite system.,REAL
"Flying trains to start in India by 2040, reports fake website.",FAKE
Scientists say humans can survive without food for 40 days.,FAKE
"Flying trains to start in India by 2025, reports fake website.",FAKE
"Drinking turmeric tea daily can cure cancer instantly, claim experts.",FAKE
Cricket star confirms time travel technology discovered in India.,FAKE
"Flying trains to start in India by 2030, reports fake website.",FAKE
New miracle drink promises to increase height by 10 inches.,FAKE
Scientists say humans can survive without food for 40 days.,FAKE
Alien spaceship spotted in Pune last night.,FAKE
Ministry of Health reports update on dengue outbreak.,REAL
"Drinking coconut water daily can cure cancer instantly, claim experts.",FAKE
Ministry of Health reports update on COVID-19 cases.,REAL
"Flying trains to start in India by 2030, reports fake website.",FAKE
Indian Railways introduces Metro Express on Bengaluru-Hyderabad.,REAL
"Flying trains to start in India by 2040, reports fake website.",FAKE
Government launches digital payment drive in Kolkata to improve infrastructure.,REAL
Alien spaceship spotted in Bengaluru last night.,FAKE
India signs agreement with Australia for trade improvement.,REAL
Government to ban ginger juice starting next week according to viral post.,FAKE
Government launches clean energy project in Hyderabad to improve transport.,REAL
YouTube influencer confirms time travel technology discovered in India.,FAKE
Supreme Court issues verdict on election guidelines.,REAL
"Drinking ginger juice daily can cure heart disease instantly, claim experts.",FAKE
India signs agreement with Singapore for defense cooperation.,REAL
WhatsApp message claims government giving free Rs 20 to all citizens.,FAKE
India signs agreement with USA for technology exchange.,REAL
New miracle drink promises to increase height by 20 inches.,FAKE
Supreme Court issues verdict on election guidelines.,REAL
Ministry of Health reports update on dengue outbreak.,REAL
Government launches digital payment drive in Pune to improve transport.,REAL
Alien spaceship spotted in Hyderabad last night.,FAKE
WhatsApp message claims government giving free Rs 10 to all citizens.,FAKE
Government to ban coconut water starting next week according to viral post.,FAKE
"Flying trains to start in India by 2025, reports fake website.",FAKE
ISRO successfully validates new reusable rocket.,REAL
ISRO successfully deploys new satellite system.,REAL
Supreme Court issues verdict on data privacy.,REAL
Government launches health mission in Delhi to improve transport.,REAL
Cricket star confirms time travel technology discovered in India.,FAKE
India signs agreement with France for defense cooperation.,REAL
WhatsApp message claims government giving free Rs 15 to all citizens.,FAKE
New miracle drink promises to increase height by 100 inches.,FAKE
Alien spaceship spotted in Bengaluru last night.,FAKE
Bollywood actor confirms time travel technology discovered in India.,FAKE
Indian Railways introduces Metro Express on Mumbai-Bengaluru.,REAL
"Drinking magic seeds daily can cure heart disease instantly, claim experts.",FAKE
India signs agreement with Singapore for technology exchange.,REAL
State government of Pune approves metro expansion plan.,REAL
"Flying trains to start in India by 2030, reports fake website.",FAKE
Indian Railways introduces Superfast Service on Chennai-Mumbai.,REAL
Cricket star confirms time travel technology discovered in India.,FAKE
New miracle drink promises to increase height by 15 inches.,FAKE
WhatsApp message claims government giving free Rs 15 to all citizens.,FAKE
WhatsApp message claims government giving free Rs 20 to all citizens.,FAKE
Supreme Court issues verdict on data privacy.,REAL
New miracle drink promises to increase height by 20 inches.,FAKE
State government of Chennai approves women safety program.,REAL
Ministry of Health reports update on malaria control.,REAL
Government to ban magic seeds starting next week according to viral post.,FAKE
Government to ban coconut water starting next week according to viral post.,FAKE
Supreme Court issues verdict on election guidelines.,REAL
"Drinking ginger juice daily can cure cancer instantly, claim experts.",FAKE
New miracle drink promises to increase height by 20 inches.,FAKE
India signs agreement with Singapore for technology exchange.,REAL
Government to ban magic seeds starting next week according to viral post.,FAKE
"Drinking coconut water daily can cure diabetes instantly, claim experts.",FAKE
WhatsApp message claims government giving free Rs 5 to all citizens.,FAKE
State government of Pune approves women safety program.,REAL
WhatsApp message claims government giving free Rs 100 to all citizens.,FAKE
Supreme Court issues verdict on data privacy.,REAL
New miracle drink promises to increase height by 50000 inches.,FAKE
Government to ban magic seeds starting next week according to viral post.,FAKE
State government of Bengaluru approves youth employment scheme.,REAL
ISRO successfully validates new AI payload.,REAL
RBI announces change in repo rate affecting education.,REAL
YouTube influencer confirms time travel technology discovered in India.,FAKE
State government of Chennai approves women safety program.,REAL
Ministry of Health reports update on dengue outbreak.,REAL
Alien spaceship spotted in Pune last night.,FAKE
"Flying trains to start in India by 2040, reports fake website.",FAKE
State government of Hyderabad approves youth employment scheme.,REAL
ISRO successfully tests new AI payload.,REAL
Government launches education scheme in Chennai to improve technology.,REAL
Indian Railways introduces Vande Bharat on Delhi-Kolkata.,REAL
Government launches digital payment drive in Pune to improve transport.,REAL
Indian Railways introduces Superfast Service on Mumbai-Mumbai.,REAL
Scientists say earth will stop rotating soon.,FAKE
Indian Railways introduces Vande Bharat on Pune-Delhi.,REAL
Government to ban coconut water starting next week according to viral post.,FAKE
India signs agreement with Australia for trade improvement.,REAL
State government of Mumbai approves youth employment scheme.,REAL
Supreme Court issues verdict on election guidelines.,REAL
India successfully tests Agni-V missile with MIRV technology,Real
ISRO announces launch schedule for Gaganyaan mission next year,Real
Supreme Court orders immediate action on air pollution in Delhi,Real
Government approves new semiconductor manufacturing policy,Real
Delhi Metro to introduce driverless trains on new routes,Real
RBI keeps repo rate unchanged amid inflation concerns,Real
India wins gold in Asian Games relay event,Real
IIT researchers develop low-cost water purification system,Real
Government announces 2000 crore plan for EV charging stations,Real
Weather department issues heavy rainfall alert in Mumbai,Real
Railways to launch high-speed freight corridor by 2026,Real
Chandigarh airport renamed in tribute to Shaheed Bhagat Singh,Real
Election Commission releases new voter ID rules online,Real
Aadhaar-PAN linking deadline extended by government,Real
School safety guidelines issued after heatwave warnings,Real
India's GDP likely to grow above 7 percent this year reports say,Real
ISRO's Chandrayaan-3 receives global recognition for soft landing,Real
National Education Policy implementation enters phase two,Real
New medical colleges approved under central scheme,Real
PM inaugurates Asia's largest Solar Park in Gujarat,Real
Public transport fare hike proposed in Bengaluru,Real
India and Japan sign defense cooperation deal,Real
COVID-19 booster shots available for all adults nationwide,Real
SEBI approves new rules for safer online trading,Real
New National Cyber Crime portal records rise in fraud complaints,Real
Government bans 14 more apps over national security concerns,Real
Archaeological Survey discovers ancient settlement in Bihar,Real
Kerala to build first floating solar farms by 2027,Real
Ayushman Bharat adds new treatments for cancer patients,Real
Indian Navy successfully tests anti-ship missile,Real
India improves rank in Global Innovation Index,Real
Air pollution monitoring stations to be doubled in NCR,Real
Delhi introduces new electric bus fleet to reduce emissions,Real
